Address,Latitude,Longitude
東京都豊島区東池袋一丁目１３番６号,35.7295307,139.7147102
東京都豊島区東池袋１−２２−１０　ＨＵＭＡＸパビリオン１Ｆ,35.7294286,139.7157707
東京都豊島区東池袋１−２９−１サントロペ池袋２階３階,35.7305155,139.7164291
東京都豊島区東池袋1-1-4池袋北辰ビル,35.7299545,139.7133011
東京都豊島区東池袋１−１４−１,35.7301458,139.7151523
東京都豊島区西池袋１−１５−９第一西池ビル,35.730484,139.7096769
東京都豊島区巣鴨１−１５−１宮田ビルB2F,35.733145,139.7400113
東京都豊島区南長崎5-27-6,35.7290304,139.6829917
東京都千代田区外神田1-9-5,35.6988283,139.77012
東京都千代田区外神田１丁目１５番９号,35.6980094,139.7724164
東京都千代田区外神田１−１０ー９,35.6987043,139.7710186
東京都千代田区外神田4-3-3ミナミビル6F・7F,35.7007415,139.7719487
東京都千代田区外神田１−１１−１１外神田１丁目ビルディング,35.6992461,139.7709387
東京都千代田区外神田1-13-1　Akihabara ex,35.698829,139.7716224
東京都千代田区外神田４−２−２貴三ビル,35.7002478,139.7717375
東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階,35.6598076,139.7025971
東京都渋谷区渋谷１−２４−１２渋谷東映プラザ,35.6599847,139.701951
東京都渋谷区恵比寿1-10-5三恵エビスビル2F,35.6467623,139.710963
東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ,,
東京都新宿区新宿３−３５−８,35.6898545,139.7022641
東京都新宿区新宿3-22-12,35.6931623,139.7018671
東京都新宿区新宿３−２２−７　指田ビル,35.69321710000001,139.7014682
東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階,35.6959885,139.7014923
東京都新宿区百人町２丁目１０−１南雲ビルＢ１Ｆ,35.7017268,139.6996333
東京都新宿区高田馬場４−７−５高田馬場グランド東京,35.713562,139.70372
東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ,35.7125948,139.704288
東京都新宿区神楽坂２−１１第２カグラヒルズ１Ｆ,35.700832,139.7419911
東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階,35.5630569,139.7159104
東京都大田区山王２−１−５大森駅ララビル２Ｆ,35.5898552,139.7283938
東京都大田区池上６−２−３松山ビル２Ｆ,35.5725249,139.7021065
東京都大田区大森北2-13-1イトーヨーカドー大森店3F,35.5865581,139.7329239
東京都大田区平和島１丁目１−１ＢＩＧＦＵＮ平和島,35.583366,139.7402526
東京都台東区上野４−１０−１７,35.710573,139.7744134
東京都台東区上野４−９−１４上野Ｋ．ＫビルＢ１〜４階,35.7100588,139.7742936
東京都世田谷区桜３−２４−１,35.6404398,139.638594
東京都練馬区東大泉２−３４−１オズスタジオシティ２Ｆ,35.7531738,139.5952453
東京都江戸川区船堀１ー６ー１１,35.684875,139.8639356
東京都江戸川区西葛西４−２−２８,35.6682074,139.8619259
東京都江戸川区西葛西５−１−１４第一保志ビル,35.6653117,139.8593061
東京都江戸川区中葛西３−３５−５,35.6643509,139.8721865
東京都江戸川区東葛西９−３−３イトーヨーカドー３Ｆ,35.6525675,139.8820578
東京都江戸川区瑞江２−１−２ドン・キホーテラパーク瑞江店４Ｆ,35.6927965,139.8967298
東京都江戸川区中央4-22-25,35.711224,139.8694061
東京都調布市布田４−２−２２,35.6511923,139.5443686
東京都調布市仙川町２−２１−１２　ＶＩＣビル７,35.6624663,139.5841466
東京都杉並区上荻１−１３−１０ハクサンビル,35.7050931,139.6182318
東京都八王子市東町12-15第5セントラル,35.6580243,139.3382179
東京都八王子市高倉町55-4,35.6650608,139.3664651
東京都八王子市旭町２−５　八王子ツインタワービル３階,35.6564119,139.3384299
東京都八王子市みなみ野１−２−１アクロスモール３Ｆ,35.6305556,139.3291667
東京都八王子市南大沢2-28-1イトーヨーカドー南大沢店3F,35.6132224,139.3794885
東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F,35.6378429,139.2935541
東京都八王子市東浅川町550-1イーアス高尾2F,35.6432023,139.2891754
東京都小金井市本町6-14-9イトーヨーカドー武蔵小金井店4F,35.7003587,139.5048958
東京都目黒区自由が丘２ー１０ー９,35.6082105,139.6674911
東京都北区赤羽１−７−９赤羽第一葉山ビルＢ１,35.7789069,139.7222948
東京都北区赤羽１−２−４,35.7783046,139.7214868
東京都北区王子１−４−１サンスクエア２階,35.7528634,139.7384784
東京都港区台場1-6-1デックス東京ビーチ4F,35.6290584,139.7759965
東京都町田市原町田６−２１−２５　大正堂第２ビル１〜４Ｆ,35.5428299,139.4481495
東京都町田市原町田６−２１−２３　松山ビル１階,35.5427436,139.4484672
東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１,35.5438842,139.4470374
東京都町田市森野１−１３−１４,35.54393659999999,139.4431848
東京都町田市鶴間３−４−１ワンダーシアター１階Ｈ１０３区画,35.5102435,139.4701751
東京都国分寺市本町３−５−１１,35.7019176,139.4800347
東京都中野区中野５−５２−１５中野ブロードウェイ別館,35.7092475,139.6656524
東京都多摩市落合１−４１−１マグレブウェスト１階・２階,35.6240392,139.4234279
東京都多摩市関戸４−７２聖蹟桜ヶ丘オーパ店６Ｆ,35.6497771,139.4469691
東京都多摩市永山１−３−４ヒューマックスパビリオン永山B1-2F,35.6314459,139.4480325
東京都板橋区大山東町60-10やすだ大山駅前店2F,35.749114,139.7022483
東京都板橋区成増二丁目２１番２号　メガドンキホーテ成増店５階,35.7781313,139.6304655
東京都板橋区相生町１６−１３,35.7766053,139.678656
東京都立川市柴崎町３−２−１サザンビル１・２Ｆ,35.69726840000001,139.4147374
東京都立川市曙町２−４−５クリサス立川２・３Ｆ,35.6993304,139.4121299
東京都立川市羽衣町２−４−１３羽衣長田ビル１０１ＷＧＣ,35.6963947,139.4287897
東京都墨田区江東橋４−２７−１４楽天地ビルＢ１Ｆ,35.6963098,139.8158654
東京都墨田区太平4-1-2オリナスモール地下1F,35.70072,139.81581
東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル,35.7143783,139.8565764
東京都葛飾区亀有3-21-2,35.7654385,139.8479681
東京都江東区亀戸５−２−６サンエービル１〜５階,35.6989709,139.8258781
東京都江東区南砂６−７−１５トピレックプラザ４Ｆ,35.6716472,139.8359921
東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000,35.62571,139.7761445
東京都武蔵野市吉祥寺本町１丁目８‐２３　河田ビル,35.7035147,139.5818476
東京都武蔵野市吉祥寺本町1-11-22,35.7062738,139.5807229
東京都武蔵野市吉祥寺本町1-3-7　YSビル地下１階〜4階,35.7036224,139.578633
東京都武蔵野市吉祥寺本町１−１０−１いなりやビル地下１階,35.7054354,139.5791269
東京都府中市西原町１−６−２フレスポ府中１Ｆ・２Ｆ,35.6823376,139.4603779
東京都府中市本町１−１３−３カネタビル,35.6671687,139.4773503
東京都福生市福生１０７６−１,35.7444504,139.3244769
東京都足立区入谷７−８−１１,35.8011431,139.7609752
東京都足立区保木間１−１−１９,35.7891796,139.8033169
東京都足立区西新井栄町2-7-2,35.7771362,139.7894567
東京都足立区竹の塚６−８−６ピーくんＰｌａｚａ−ｂ,35.7947426,139.792389
東京都青梅市千ケ瀬町4-326-1,35.7860048,139.2699655
東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ,35.7233301,139.4808077
東京都西多摩郡瑞穂町武蔵382-1,35.7631217,139.3566818
東京都西多摩郡日の出町大字平井237-3イオンモール日の出３Ｆ,35.7354516,139.275176
東京都武蔵村山市榎１−１−３−２０５９,35.7463515,139.3848134
東京都武蔵村山市伊奈平３−１−１,35.7353008,139.3823643
